"id","x","y","stand","volume","p95"
1,0,0,1,288.849965923717,40.8485923195251
2,0,1,1,172.301557686503,47.4556348959165
3,0,2,1,471.462304448995,62.1412128907182
4,0,3,1,302.518631340294,60.3044050718869
5,0,4,1,382.627909120037,58.8055093471021
6,0,5,1,304.557932209009,38.1441422897889
7,0,6,1,381.862303681777,73.2535169812495
8,0,7,1,366.010924426846,44.3871169898007
9,0,8,1,319.630197215273,36.5646969566162
10,0,9,1,324.710733047802,26.6182946690903
11,0,10,1,379.634001832266,61.6568912110888
12,0,11,1,439.33622069418,66.3024275202446
13,0,12,1,536.976522582635,78.6915628640241
14,0,13,1,290.177260364993,39.2249676879046
15,0,14,1,363.569774514796,57.2175503985503
16,0,15,1,649.860084215547,87.5185847655429
17,0,16,1,265.166513758342,36.9630328326979
18,0,17,1,276.848444309832,56.0755211131193
19,0,18,1,330.31139720969,54.0198478185583
20,0,19,1,222.14788691903,40.059386978934
21,0,20,3,288.849965923717,41.567526723507
22,0,21,3,172.301557686503,64.4130213394716
23,0,22,3,471.462304448995,17.9631980116066
24,0,23,3,302.518631340294,25.5091653968356
25,0,24,3,382.627909120037,75.9107646633897
26,0,25,3,304.557932209009,43.6842206795845
27,0,26,3,381.862303681777,85.9577989557434
28,0,27,3,366.010924426846,62.070528609244
29,0,28,3,319.630197215273,90.4520999681358
30,0,29,3,324.710733047802,14.6426268879546
31,0,30,3,379.634001832266,51.9592790361164
32,0,31,3,439.33622069418,3.19791828211913
33,0,32,3,536.976522582635,40.2317243089216
34,0,33,3,290.177260364993,70.9941415614118
35,0,34,3,363.569774514796,27.551267342321
36,0,35,3,649.860084215547,38.7787429656279
37,0,36,3,265.166513758342,-9.20536817193939
38,0,37,3,276.848444309832,33.7113033480231
39,0,38,3,330.31139720969,48.7872935651122
40,0,39,3,222.14788691903,38.1997053916878
41,1,0,1,288.849965923717,41.9467038405861
42,1,1,1,172.301557686503,42.5947269538939
43,1,2,1,471.462304448995,34.8837300105636
44,1,3,1,302.518631340294,27.0945042878248
45,1,4,1,382.627909120037,47.5883967045378
46,1,5,1,304.557932209009,54.2978359080163
47,1,6,1,381.862303681777,55.3354665711031
48,1,7,1,366.010924426846,51.9632138945474
49,1,8,1,319.630197215273,41.5134546415449
50,1,9,1,324.710733047802,70.3288567963043
51,1,10,1,379.634001832266,37.931228609638
52,1,11,1,439.33622069418,50.4755663106099
53,1,12,1,536.976522582635,45.9518170005396
54,1,13,1,290.177260364993,49.095165433024
55,1,14,1,363.569774514796,28.0449026086462
56,1,15,1,649.860084215547,66.3548193933411
57,1,16,1,265.166513758342,43.839801623379
58,1,17,1,276.848444309832,62.6606688180514
59,1,18,1,330.31139720969,60.974562141783
60,1,19,1,222.14788691903,37.5572492820604
61,1,20,3,288.849965923717,129.452626972591
62,1,21,3,172.301557686503,99.4485718207267
63,1,22,3,471.462304448995,25.3416464847207
64,1,23,3,302.518631340294,60.7467040971235
65,1,24,3,382.627909120037,81.451505723766
66,1,25,3,304.557932209009,12.7512300342118
67,1,26,3,381.862303681777,80.4718976181441
68,1,27,3,366.010924426846,63.543522022141
69,1,28,3,319.630197215273,50.1992532566038
70,1,29,3,324.710733047802,69.4483209042554
71,1,30,3,379.634001832266,29.7590220962842
72,1,31,3,439.33622069418,41.5526935762489
73,1,32,3,536.976522582635,67.3909446453875
74,1,33,3,290.177260364993,75.7976992149588
75,1,34,3,363.569774514796,63.6550936756195
76,1,35,3,649.860084215547,38.7746656574925
77,1,36,3,265.166513758342,41.7637289775319
78,1,37,3,276.848444309832,33.6835224225017
79,1,38,3,330.31139720969,18.339706918728
80,1,39,3,222.14788691903,22.392035803497
81,2,0,1,288.849965923717,71.7172142422952
82,2,1,1,172.301557686503,46.3725719820258
83,2,2,1,471.462304448995,57.959277240819
84,2,3,1,302.518631340294,41.1811076881872
85,2,4,1,382.627909120037,82.2562253663403
86,2,5,1,304.557932209009,65.9660867773773
87,2,6,1,381.862303681777,47.0563446715938
88,2,7,1,366.010924426846,40.7157940326588
89,2,8,1,319.630197215273,52.3445668436895
90,2,9,1,324.710733047802,41.5402094684536
91,2,10,1,379.634001832266,68.7807193797433
92,2,11,1,439.33622069418,59.5863509364611
93,2,12,1,536.976522582635,61.3783375886959
94,2,13,1,290.177260364993,55.9618250404025
95,2,14,1,363.569774514796,50.0041270870596
96,2,15,1,649.860084215547,55.4547028855453
97,2,16,1,265.166513758342,56.3655014463484
98,2,17,1,276.848444309832,59.1466612301583
99,2,18,1,330.31139720969,62.9056687020402
100,2,19,1,222.14788691903,79.4955936182693
101,2,20,3,288.849965923717,61.0985186108626
102,2,21,3,172.301557686503,80.812882399072
103,2,22,3,471.462304448995,57.342544627966
104,2,23,3,302.518631340294,42.4883665767191
105,2,24,3,382.627909120037,49.5178668733866
106,2,25,3,304.557932209009,66.7679277137032
107,2,26,3,381.862303681777,40.4193999200912
108,2,27,3,366.010924426846,54.6067668323457
109,2,28,3,319.630197215273,40.9111901634963
110,2,29,3,324.710733047802,81.23600426623
111,2,30,3,379.634001832266,66.002457964719
112,2,31,3,439.33622069418,-26.0235363779751
113,2,32,3,536.976522582635,22.6370983446992
114,2,33,3,290.177260364993,53.7770351668802
115,2,34,3,363.569774514796,81.1398260782262
116,2,35,3,649.860084215547,35.732139844722
117,2,36,3,265.166513758342,36.7700661021613
118,2,37,3,276.848444309832,54.5088226612961
119,2,38,3,330.31139720969,38.4943004768614
120,2,39,3,222.14788691903,104.126405200207
121,3,0,1,288.849965923717,59.9222340761596
122,3,1,1,172.301557686503,56.889958419392
123,3,2,1,471.462304448995,46.610494117683
124,3,3,1,302.518631340294,40.4746331986428
125,3,4,1,382.627909120037,70.5074794043458
126,3,5,1,304.557932209009,51.3317006418085
127,3,6,1,381.862303681777,79.7703372330063
128,3,7,1,366.010924426846,47.4426296260533
129,3,8,1,319.630197215273,48.2021989093592
130,3,9,1,324.710733047802,60.3670238267849
131,3,10,1,379.634001832266,48.9995952053374
132,3,11,1,439.33622069418,37.2115154567813
133,3,12,1,536.976522582635,36.3220893455505
134,3,13,1,290.177260364993,46.5140367756245
135,3,14,1,363.569774514796,28.2872266412435
136,3,15,1,649.860084215547,32.2267203050025
137,3,16,1,265.166513758342,62.0613863796184
138,3,17,1,276.848444309832,63.8927837781127
139,3,18,1,330.31139720969,39.587885125626
140,3,19,1,222.14788691903,42.7987062550982
141,3,20,3,288.849965923717,23.7898273949531
142,3,21,3,172.301557686503,28.7011659244013
143,3,22,3,471.462304448995,26.7334153609924
144,3,23,3,302.518631340294,74.8117866523559
145,3,24,3,382.627909120037,41.4641826237644
146,3,25,3,304.557932209009,2.81684841157171
147,3,26,3,381.862303681777,39.1834894898229
148,3,27,3,366.010924426846,51.8381038225074
149,3,28,3,319.630197215273,66.5383955204097
150,3,29,3,324.710733047802,43.7799674205795
151,3,30,3,379.634001832266,47.884075920362
152,3,31,3,439.33622069418,21.457712209705
153,3,32,3,536.976522582635,75.9834214180654
154,3,33,3,290.177260364993,21.7592578580408
155,3,34,3,363.569774514796,67.0926618927459
156,3,35,3,649.860084215547,28.1789243547223
157,3,36,3,265.166513758342,33.1633347113658
158,3,37,3,276.848444309832,54.8499481075021
159,3,38,3,330.31139720969,15.5775831181841
160,3,39,3,222.14788691903,18.921139792135
161,4,0,1,288.849965923717,42.3470543079934
162,4,1,1,172.301557686503,34.2207929071698
163,4,2,1,471.462304448995,40.053117398942
164,4,3,1,302.518631340294,62.1889031532063
165,4,4,1,382.627909120037,40.8874035519659
166,4,5,1,304.557932209009,43.1942246981832
167,4,6,1,381.862303681777,74.294916015263
168,4,7,1,366.010924426846,36.6691404508143
169,4,8,1,319.630197215273,40.5560452401064
170,4,9,1,324.710733047802,78.268123263115
171,4,10,1,379.634001832266,53.7576169626716
172,4,11,1,439.33622069418,51.6618558576155
173,4,12,1,536.976522582635,45.4563658009023
174,4,13,1,290.177260364993,94.8707321292185
175,4,14,1,363.569774514796,31.5084002706042
176,4,15,1,649.860084215547,62.6446885997176
177,4,16,1,265.166513758342,67.7652993597199
178,4,17,1,276.848444309832,42.292348005074
179,4,18,1,330.31139720969,44.7009675610526
180,4,19,1,222.14788691903,29.3824002023263
181,4,20,3,288.849965923717,23.1108163631787
182,4,21,3,172.301557686503,65.7429473244583
183,4,22,3,471.462304448995,77.8176997613989
184,4,23,3,302.518631340294,90.646884628681
185,4,24,3,382.627909120037,63.4106724021677
186,4,25,3,304.557932209009,80.5699140296692
187,4,26,3,381.862303681777,36.1473929947913
188,4,27,3,366.010924426846,59.9475118825743
189,4,28,3,319.630197215273,43.6115888118279
190,4,29,3,324.710733047802,19.120853567383
191,4,30,3,379.634001832266,68.2493716303927
192,4,31,3,439.33622069418,50.4171145244309
193,4,32,3,536.976522582635,96.6744218226494
194,4,33,3,290.177260364993,34.6389450993277
195,4,34,3,363.569774514796,20.2862634647641
196,4,35,3,649.860084215547,57.4386849854247
197,4,36,3,265.166513758342,54.9824978791079
198,4,37,3,276.848444309832,33.8317727093633
199,4,38,3,330.31139720969,31.8558578254805
200,4,39,3,222.14788691903,66.8102100224534
201,5,0,1,288.849965923717,55.0800683602476
202,5,1,1,172.301557686503,57.7231937668441
203,5,2,1,471.462304448995,56.0200217113402
